v2,,
data,item,valor
11JUL,Amazon-Marketplace Parcela 03/05,"425,05"
15AGO,COBASI TEODORO SAMPAIO Parcela 02/02,"38,56"
08SET,MERCADOLIVRE*EVIPARTICIPA,"149,90"
09SET,DM *SPOTIFY,"24,90"
16SET,METLIFE,"269,16"
16SET,TIM*ctrbexpawq73k,"75,99"
13SET,ECON PREMIAVEL BRADESCO,"32,70"
14SET,PAO DE ACUCAR 0062 SUM,"143,70"
16SET,Uber *UBER *TRIP,"59,97"
16SET,Uber *UBER *TRIP,"79,90"
17SET,SALDO ANTERIOR,"1.623,73"
18SET,LINAH COMERCIO,"32,00"
18SET,ZP *SYMPLA,"184,00"
19SET,PAGTO. POR DEB EM C/C,"-1.623,73"
22SET,Uber *UBER *TRIP,"9,91"
22SET,ZP *SYMPLA,"92,00"
23SET,PAO DE ACUCAR 0062 SUM,"172,23"
23SET,WEST MARKET,"18,50"
24SET,UBER* TRIP,"10,17"
24SET,UBER *TRIP,"9,99"
24SET,Uber *UBER *TRIP,"9,90"
24SET,Uber *UBER *TRIP,"12,93"
25SET,Uber *UBER *TRIP,"29,32"
25SET,Uber *UBER *TRIP,"11,98"
25SET,LATICINIOS NINOEJOSY,"23,00"
25SET,BANCA ANTONIO DANTAS,"45,00"
25SET,HILDEBRANDO PEREIRA,"10,00"
26SET,UBER *TRIP HELP.UBER.COM,"44,05"
26SET,NETFLIX.COM,"39,90"
26SET,Uber *UBER *TRIP,"13,94"
26SET,WEST MARKET,"11,00"
26SET,WWW*SYMPLA4TCKR8,"50,00"
26SET,COBASI E COMMERCE Parcela 01/02,"41,26"
27SET,Uber *UBER *TRIP,"25,11"
28SET,Uber *UBER *TRIP,"9,92"
29SET,Loggi Tecnologia Ltda,"94,88"
30SET,Uber *UBER *TRIP,"16,53"
01OUT,PAO DE ACUCAR 0062 SUM,"121,31"
02OUT,AmazonPrimeBR,"14,90"
02OUT,Turbi Fechamento da viage,"36,91"
02OUT,Uber *UBER *TRIP,"9,95"
03OUT,RAPPI*HEPA GASTRONOMIA LT,"101,08"
03OUT,RAPPI*VERIFICATIONS BRASI,"2,80"
03OUT,RAPPI*VERIFICATIONS BRASI,"-2,80"
